RunId,Step
0,4617
1,4778
2,4423
3,4756
4,4850
5,4771
6,4871
7,4650
8,4557
9,4329
10,4287
11,4461
12,4556
13,4875
14,4480
15,4690
16,4645
17,4387
18,4431
19,4533
